Story ID,Prediction,Rationale
2,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
33,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
15,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
82,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
37,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
3,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
103,1,The proposed backstory is consistent with the primary text. The claim 'Napoleon climbed toward dictatorship' is explicitly supported by the novel.
94,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
85,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
21,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
49,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
140,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
64,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
131,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
61,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
86,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
38,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
132,1,The proposed backstory is consistent with the primary text. The claim 'He was publishing notes on history and natural philosophy.' is explicitly supported by the novel.
77,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
70,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
115,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
78,1,The proposed backstory is consistent with the primary text. The claim 'The child never forgot the sound of flesh stripped from bone.' is explicitly supported by the novel.
87,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
75,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
44,0,"The proposed backstory cannot be conclusively verified against the primary text. Although the novel discusses the character in related contexts, it does not explicitly state or deny the specific factual claims extracted from the backstory. In accordance with the explicit-evidence constraint, the claim is therefore treated as unsupported."
